"ITEM","NOMBRE","DIRECCION COMERCIAL","TELÉFONO","CASIFICACIÓN POR CONCEPTO","MESAS","SILLAS","AFORO","DOMICILIOS"
"65","Restaurante Cocina Rica","K 7 12 89","3,232,866,143","Restaurante familiar - comida corriente","8","4","32","SI"
"66","Resaturante Piquetes","C 11 8 16","3,122,896,502","Restaurante familiar - Cocina colombiana","32","4","128","SI"
"67","Restaurante La Central","K 15 11 99","3,146,895,447","Restaurante familiar - Platos ejecutivos - Platos a la carta","24","6","144","SI"
"68","Restaurante Donde Augusto","K 7 40 06","3,113,094,800","Restaurante familiar - Comida corriente - Fast Food","22","4","88","SI"
"69","La Perrada de Mao","C 17 14 57","3,134,209,425","Fast Food","40","4","160","SI"
"70","Lluvia de hamburguesas Salomé","C 14 7 65","3,196,196,005","Fast Food","16","4","64","SI"
"71","Arroz Paisa","C 10 5 A 22","3,022,757,018","Restaurante tematico - Arros paisa premium - Ranchero","10","4","40","SI"
"72","Restaurante Steack Parrilla","C 10 6 37","3,215,896,166","Restaurante familiar - Comida corriente","10","4","40","SI"
"73","La Plazoleta Food Trucks and Drinks","C 10 K 5 A","3,235,327,059","Fast Food - Take away - Familiar","12","4","48","SI"
"74","Chandozos","K 5 10 43","3,213,345,326","Hot dogs pan artesanal - Take away","1","4","4","SI"
"75","Restaurante Los Mellos","K 6 13 62","3,107,458,142","Restaurante familiar - Comida corriente","9","4","36","SI"
"76","La Barra marina","C 10 B 7 03","3,106,401,089","Restaurante familiar - Cevichería - comida de mar","23","4","92","SI"
"77","Kanella","K 6 10 55","3,127,420,042","Restaurante familiar - granizadas - Jugos tropicales - Churrasco","10","4","40","SI"
"78","Frijoles Don Darío","Km 1 Prosocial","3,206,342,386","Restaurante familiar - Fríjoles - platos a la carta","20","4","80","SI"
"79","Lola Food","C 10 5 26","3,007,424,136","Restaurante familiar - Fast Food","4","4","16","SI"
"80","Danger Shake","C 10 5 22","3,178,019,131","Restaurante familiar - Fast Food - Alas BBQ - Burritos mixtos","5","4","20","SI"
"81","Comidas Rapidas BBQ El Gordo","K 4 Transversal 1","3,143,097,096","Fast Food - Take away - Familiar","5","4","20","SI"
"82","Sana tentación","K 6A 7 13","3,234,972,678","Tortas - Postres - Malteadas - Pan integral","2","4","8","SI"
"83","Carnales Comida mexicana","C 10 5 08","3,137,844,428","Restaurante Tematico - Nachos","9","4","36","SI"
"84","El Rancho de Juancho","K 10 10 A 17","3,145,428,983","Restaurante familiar - Fast Food - Carnes  Parrilla","12","4","48","SI"
"85","Granja La Guadalupe","K 2 C 5 SUR","3,122,716,595","Restaurante familiar - Parrilla - Granja - Show caballo","30","4","120","SI"
"86","Donde Leche Gastrobar","K 2 7 89","3,156,829,770","Restaurante familiar - Parilla - Cochinillo a la brasa","6","4","24","SI"
"87","Sancochos del Río","K 2 4 55","3,127,247,219","Restaurante familiar - Sancocho de gallina Kiolla","6","6","36","SI"
"88","Don Patacón","K 6 10 40","3,203,350,050","Restaurante familiar - Carnes - Fast Food - Patacón con todo","9","4","36","SI"
"89","Juancholaos","K 4 10 03","3,174,692,327","Helados - Ensaladas de frutas","9","4","36","SI"
"90","Repostería Pastelería Pin Uno","C 10 3 74","3,002,972,349","Tortas - postres - cafés","3","4","12","SI"
"91","La Portada Tradicional 2 Café parrilla Bar","C 10 4 60","3,103,577,330","Restaurante familiar - Platos ejecutivos - Platos a la carta","10","8","80","SI"
"92","La lomería steack","C 10 10 66","3,104,076,159","Restaurante familiar - Lomo fino - parrilla","18","4","72","SI"
