item,nombre,direccion_comercial,casificación_por_concepto,mesas,sillas,aforo,domicilios,teléfono_limpio
59,Manzanitas Heladería,K 2 11 14,Jugos tropicales - Ensaladas de frutas - Cholados,4,4,16,SI,3113586431
60,Helados Milkys,K 6 18 61,Helado Sof Artesanal Blanca - Helados caseros,6,4,24,SI,3127911459
61,Heladería y Frutería La Especial,C 11 4 17,Jugos naturales - Ensaladas de frutas - Granizadas,9,4,36,SI,3108312692
62,Heladería La Manzana Verde,C 11 4 07,Jugos naturales - Ensaladas de frutas - Granizadas,15,4,60,SI,3117252086
63,Heladería Donald,K 5 12 37,Jugos naturales - Helados - Ensaladas de frutas,20,4,80,SI,3232271269
64,Frutifresquería La Barra del Sabor,C 13 6 82,Jugos naturales - Cholados - Ensaladas de frutas,12,4,48,SI,3225865977
65,Restaurante Cocina Rica,K 7 12 89,Restaurante familiar - comida corriente,8,4,32,SI,3232866143
66,Resaturante Piquetes,C 11 8 16,Restaurante familiar - Cocina colombiana,32,4,128,SI,3122896502
67,Restaurante La Central,K 15 11 99,Restaurante familiar - Platos ejecutivos - Platos a la carta,24,6,144,SI,3146895447
68,Restaurante Donde Augusto,K 7 40 06,Restaurante familiar - Comida corriente - Fast Food,22,4,88,SI,3113094800
69,La Perrada de Mao,C 17 14 57,Fast Food,40,4,160,SI,3134209425
70,Lluvia de hamburguesas Salomé,C 14 7 65,Fast Food,16,4,64,SI,3196196005
71,Arroz Paisa,C 10 5 A 22,Restaurante tematico - Arros paisa premium - Ranchero,10,4,40,SI,3022757018
72,Restaurante Steack Parrilla,C 10 6 37,Restaurante familiar - Comida corriente,10,4,40,SI,3215896166
73,La Plazoleta Food Trucks and Drinks,C 10 K 5 A,Fast Food - Take away - Familiar,12,4,48,SI,3235327059
74,Chandozos,K 5 10 43,Hot dogs pan artesanal - Take away,1,4,4,SI,3213345326
75,Restaurante Los Mellos,K 6 13 62,Restaurante familiar - Comida corriente,9,4,36,SI,3107458142
76,La Barra marina,C 10 B 7 03,Restaurante familiar - Cevichería - comida de mar,23,4,92,SI,3106401089
77,Kanella,K 6 10 55,Restaurante familiar - granizadas - Jugos tropicales - Churrasco,10,4,40,SI,3127420042
78,Frijoles Don Darío,Km 1 Prosocial,Restaurante familiar - Fríjoles - platos a la carta,20,4,80,SI,3206342386
79,Lola Food,C 10 5 26,Restaurante familiar - Fast Food,4,4,16,SI,3007424136
80,Danger Shake,C 10 5 22,Restaurante familiar - Fast Food - Alas BBQ - Burritos mixtos,5,4,20,SI,3178019131
81,Comidas Rapidas BBQ El Gordo,K 4 Transversal 1,Fast Food - Take away - Familiar,5,4,20,SI,3143097096
82,Sana tentación,K 6A 7 13,Tortas - Postres - Malteadas - Pan integral,2,4,8,SI,3234972678
83,Carnales Comida mexicana,C 10 5 08,Restaurante Tematico - Nachos,9,4,36,SI,3137844428
84,El Rancho de Juancho,K 10 10 A 17,Restaurante familiar - Fast Food - Carnes  Parrilla,12,4,48,SI,3145428983
85,Granja La Guadalupe,K 2 C 5 SUR,Restaurante familiar - Parrilla - Granja - Show caballo,30,4,120,SI,3122716595
86,Donde Leche Gastrobar,K 2 7 89,Restaurante familiar - Parilla - Cochinillo a la brasa,6,4,24,SI,3156829770
87,Sancochos del Río,K 2 4 55,Restaurante familiar - Sancocho de gallina Kiolla,6,6,36,SI,3127247219
88,Don Patacón,K 6 10 40,Restaurante familiar - Carnes - Fast Food - Patacón con todo,9,4,36,SI,3203350050
89,Juancholaos,K 4 10 03,Helados - Ensaladas de frutas,9,4,36,SI,3174692327
90,Repostería Pastelería Pin Uno,C 10 3 74,Tortas - postres - cafés,3,4,12,SI,3002972349
91,La Portada Tradicional 2 Café parrilla Bar,C 10 4 60,Restaurante familiar - Platos ejecutivos - Platos a la carta,10,8,80,SI,3103577330
92,La lomería steack,C 10 10 66,Restaurante familiar - Lomo fino - parrilla,18,4,72,SI,3104076159
93,La Bufalera Restaurante,C 10 10 70,Restaurante Tematico - Parrilla - Especialidad La Bufalera,28,4,112,SI,3176680633
